0.000000000000000000e+00 1.636999999999999844e-01
1.000000000000000056e-01 1.955999999999999961e-01
2.000000000000000111e-01 2.091000000000000081e-01
2.999999999999999889e-01 2.212999999999999967e-01
4.000000000000000222e-01 2.358999999999999986e-01
5.000000000000000000e-01 2.425999999999999823e-01
5.999999999999999778e-01 2.639000000000000234e-01
6.999999999999999556e-01 2.826999999999999513e-01
8.000000000000000444e-01 3.012000000000000233e-01
9.000000000000000222e-01 3.375000000000000222e-01
